temps;intensite
-0,005;0,56
-0,004996;0,556
-0,004992;0,564
-0,004988;0,56
-0,004984;0,56
-0,00498;0,56
-0,004976;0,564
-0,004972;0,564
-0,004968;0,564
-0,004964;0,568
-0,00496;0,564
-0,004956;0,564
-0,004952;0,572
-0,004948;0,568
-0,004944;0,568
-0,00494;0,568
-0,004936;0,568
-0,004932;0,572
-0,004928;0,564
-0,004924;0,568
-0,00492;0,568
-0,004916;0,568
-0,004912;0,568
-0,004908;0,568
-0,004904;0,568
-0,0049;0,568
-0,004896;0,564
-0,004892;0,564
-0,004888;0,56
-0,004884;0,56
-0,00488;0,56
-0,004876;0,56
-0,004872;0,56
-0,004868;0,556
-0,004864;0,556
-0,00486;0,556
-0,004856;0,552
-0,004852;0,552
-0,004848;0,548
-0,004844;0,548
-0,00484;0,544
-0,004836;0,54
-0,004832;0,544
-0,004828;0,544
-0,004824;0,536
-0,00482;0,532
-0,004816;0,532
-0,004812;0,532
-0,004808;0,528
-0,004804;0,524
-0,0048;0,52
-0,004796;0,52
-0,004792;0,52
-0,004788;0,516
-0,004784;0,512
-0,00478;0,512
-0,004776;0,508
-0,004772;0,504
-0,004768;0,504
-0,004764;0,5
-0,00476;0,496
-0,004756;0,492
-0,004752;0,492
-0,004748;0,488
-0,004744;0,488
-0,00474;0,484
-0,004736;0,48
-0,004732;0,48
-0,004728;0,48
-0,004724;0,472
-0,00472;0,472
-0,004716;0,472
-0,004712;0,468
-0,004708;0,464
-0,004704;0,464
-0,0047;0,46
-0,004696;0,456
-0,004692;0,456
-0,004688;0,452
-0,004684;0,452
-0,00468;0,452
-0,004676;0,452
-0,004672;0,452
-0,004668;0,448
-0,004664;0,448
-0,00466;0,444
-0,004656;0,444
-0,004652;0,444
-0,004648;0,444
-0,004644;0,44
-0,00464;0,44
-0,004636;0,444
-0,004632;0,44
-0,004628;0,44
-0,004624;0,444
-0,00462;0,44
-0,004616;0,444
-0,004612;0,448
-0,004608;0,448
-0,004604;0,448
-0,0046;0,448
-0,004596;0,452
-0,004592;0,452
-0,004588;0,452
-0,004584;0,456
-0,00458;0,456
-0,004576;0,46
-0,004572;0,46
-0,004568;0,464
-0,004564;0,464
-0,00456;0,468
-0,004556;0,472
-0,004552;0,476
-0,004548;0,48
-0,004544;0,48
-0,00454;0,48
-0,004536;0,484
-0,004532;0,488
-0,004528;0,488
-0,004524;0,492
-0,00452;0,496
-0,004516;0,5
-0,004512;0,508
-0,004508;0,508
-0,004504;0,512
-0,0045;0,516
-0,004496;0,516
-0,004492;0,52
-0,004488;0,524
-0,004484;0,528
-0,00448;0,524
-0,004476;0,532
-0,004472;0,532
-0,004468;0,536
-0,004464;0,536
-0,00446;0,544
-0,004456;0,544
-0,004452;0,548
-0,004448;0,548
-0,004444;0,552
-0,00444;0,556
-0,004436;0,552
-0,004432;0,556
-0,004428;0,556
-0,004424;0,556
-0,00442;0,56
-0,004416;0,56
-0,004412;0,56
-0,004408;0,56
-0,004404;0,564
-0,0044;0,564
-0,004396;0,564
-0,004392;0,56
-0,004388;0,56
-0,004384;0,56
-0,00438;0,56
-0,004376;0,56
-0,004372;0,556
-0,004368;0,556
-0,004364;0,556
-0,00436;0,556
-0,004356;0,556
-0,004352;0,552
-0,004348;0,548
-0,004344;0,548
-0,00434;0,544
-0,004336;0,544
-0,004332;0,536
-0,004328;0,536
-0,004324;0,532
-0,00432;0,528
-0,004316;0,528
-0,004312;0,524
-0,004308;0,52
-0,004304;0,516
-0,0043;0,512
-0,004296;0,512
-0,004292;0,508
-0,004288;0,504
-0,004284;0,5
-0,00428;0,496
-0,004276;0,492
-0,004272;0,488
-0,004268;0,488
-0,004264;0,48
-0,00426;0,48
-0,004256;0,48
-0,004252;0,472
-0,004248;0,472
-0,004244;0,468
-0,00424;0,464
-0,004236;0,46
-0,004232;0,46
-0,004228;0,456
-0,004224;0,452
-0,00422;0,456
-0,004216;0,448
-0,004212;0,444
-0,004208;0,444
-0,004204;0,44
-0,0042;0,44
-0,004196;0,44
-0,004192;0,44
-0,004188;0,44
-0,004184;0,436
-0,00418;0,436
-0,004176;0,436
-0,004172;0,436
-0,004168;0,432
-0,004164;0,432
-0,00416;0,436
-0,004156;0,436
-0,004152;0,436
-0,004148;0,436
-0,004144;0,44
-0,00414;0,44
-0,004136;0,44
-0,004132;0,444
-0,004128;0,444
-0,004124;0,448
-0,00412;0,448
-0,004116;0,452
-0,004112;0,452
-0,004108;0,456
-0,004104;0,456
-0,0041;0,46
-0,004096;0,468
-0,004092;0,464
-0,004088;0,468
-0,004084;0,472
-0,00408;0,48
-0,004076;0,476
-0,004072;0,484
-0,004068;0,488
-0,004064;0,488
-0,00406;0,492
-0,004056;0,496
-0,004052;0,504
-0,004048;0,504
-0,004044;0,508
-0,00404;0,512
-0,004036;0,516
-0,004032;0,52
-0,004028;0,52
-0,004024;0,52
-0,00402;0,528
-0,004016;0,532
-0,004012;0,536
-0,004008;0,536
-0,004004;0,536
-0,004;0,54
-0,003996;0,548
-0,003992;0,552
-0,003988;0,552
-0,003984;0,552
-0,00398;0,556
-0,003976;0,556
-0,003972;0,556
-0,003968;0,56
-0,003964;0,56
-0,00396;0,564
-0,003956;0,564
-0,003952;0,568
-0,003948;0,564
-0,003944;0,568
